34,56
11,62
0,28
22,64
58,81
93,122
58,86
27,52
100,127
6,47
2,26
52,81
30,59
16,57
137,167
6,59
51,76
74,100
18,53
214,255
4,44
29,59
0,41
1,16
30,58
32,64
83,119
20,50
0,28
18,44
0,34
13,51
56,99
6,93
79,105
90,122
55,101
2,33
48,75
32,62
93,128
188,255
18,50
153,194
6,36
36,62
40,60
82,110
57,79
55,121
6,18
64,108
71,92
63,88
3,23
88,122
4,33
6,46
45,79
50,70
4,34
101,129
74,117
123,155
0,26
10,38
3,39
77,103
0,44
26,67
47,82
123,154
5,33
8,51
0,23
7,51
3,36
32,57
6,38
1,34
0,32
49,73
37,75
128,178
68,97
4,38
38,66
82,103
7,36
28,68
65,90
4,24
133,192
111,142
57,88
26,47
32,85
1,34
155,196
117,140
